sku,p_type,weight
QC28195,单属性,91.0
	1618210496111,单属性,99.0
QC37211,单属性,40.0
	1614210143411,单属性,226.0
	1618220225111,单属性,560.0
QC30534,单属性,31.0
	1618210106911,单属性,28.0
	1618220178311,单属性,343.0
QC12876,单属性,99.0
	1618220346211,单属性,141.0
	1618220199711,单属性,58.0
	1618220178611,单属性,380.0
	1619220149911,单属性,253.0
	1618220025411,单属性,308.0
QC32052,单属性,58.0
QC38017,单属性,111.0
	1618210213111,单属性,62.0
	1618220178811,单属性,45.0
	1618190092011,单属性,90.0
QC03654,单属性,33.0
QC28525,单属性,47.0
	1618220292711,单属性,20.0
	1618190149711,单属性,30.0
	1618220204111,单属性,53.0
QC27849,单属性,448.0
	1618210443711,单属性,20.0
QC32106,单属性,30.0
	1618210339111,单属性,24.0
QC28571-02,多属性,111.0
	1619220104012,多属性,120.0
	1619220116211,多属性,273.0
	1619220103611,多属性,105.0
	1613210043211,单属性,193.0
	1618220176911,单属性,1475.0
	1618220219712,多属性,100.0
	1618210185711,单属性,580.0
	1610200064611,单属性,450.0
	1619220105911,单属性,230.0
	1619220106111,多属性,128.0
	1610200021211,单属性,121.0
	1618220219711,多属性,100.0
	1619220103711,单属性,200.0
	1610220058511,单属性,279.0
	1618220219111,单属性,204.0
	1610210139411,单属性,121.0
	1619220116311,多属性,285.0
	1619220104011,多属性,120.0
	1619220117512,多属性,270.0
	1610210059811,单属性,343.0
	1619220144111,单属性,198.0
	1610220059011,单属性,194.0
	1619220116312,多属性,285.0
	1619200032211,单属性,85.0
	1619220115911,单属性,226.0
	1610220035911,单属性,602.0
	1619220144011,多属性,100.0
	1619220144012,多属性,100.0
	1618210184211,单属性,300.0
	1618210035711,单属性,251.0
	1610220036011,单属性,304.0
	1610220083211,单属性,173.0
	1619220105711,多属性,115.0
	1619220116212,多属性,243.0
	1610220034411,单属性,291.0
	1619220103812,多属性,90.0
	1619220103811,多属性,90.0
	1610220064911,单属性,409.0
	1619220103612,多属性,105.0
	1619220115811,多属性,174.0
QC31999,单属性,314.0
	1619220116011,单属性,310.0
	1619220115812,多属性,174.0
QC32215,单属性,15.0
	1619220105712,多属性,115.0
	1619220106712,多属性,132.0
	1619220104111,单属性,233.0
	1618220243211,单属性,335.0
	1610220058911,单属性,162.0
	1619220106112,多属性,128.0
	1619220117511,多属性,250.0
